subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues
10,ppc,sham,15-80ms,0.015,0.08,0.39545556050918473,73.51892922276956,18.674770209482485,-0.21493680987483307,20.000000000000004,52.794894475286746,0.40920882546543125,0.09461174045725458,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-10_PPC_sham_ave.fif,PPC_sham,True,
11,dlpfc,active,15-80ms,0.015,0.08,0.28763562031250167,50.0000000000051,14.317522329203394,0.29371823965716737,20.000000000000004,61.63920136830296,0.7781871217528854,0.0579724174549044,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-11_DLPFC_active_ave.fif,DLPFC_active,True,
11,dlpfc,sham,15-80ms,0.015,0.08,0.23348185426141285,50.00000000000001,15.682530541405184,0.30541017482665767,20.000000000000224,60.20753799300057,0.7376546741020759,0.06304703942514313,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-11_DLPFC_sham_ave.fif,DLPFC_sham,True,
11,m1,active,15-80ms,0.015,0.08,0.34237259312179363,62.63687240103473,19.480764425562715,-0.21664011839468206,20.000000000000004,52.77103139338099,0.4208316728359741,0.09367645213345882,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-11_M1_active_ave.fif,M1_active,True,
11,m1,sham,15-80ms,0.015,0.08,0.40948352451535425,72.80570906760042,18.73826607606531,-0.2173571579849376,20.000000000085034,52.86861680333589,0.4239719396466165,0.09342214878791273,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-11_M1_sham_ave.fif,M1_sham,True,
11,ppc,active,15-80ms,0.015,0.08,0.8054161311742479,88.02719421935174,21.02695416988395,-0.26169905877060334,20.000000000000004,54.90159041936323,0.6422293989240186,0.07362585607634613,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-11_PPC_active_ave.fif,PPC_active,True,
11,ppc,sham,15-80ms,0.015,0.08,0.4216485512264802,74.16148948929207,18.78540516073277,-0.21872629262464058,20.000000000028116,52.89618336641777,0.4288841143931059,0.09302295949953704,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-11_PPC_sham_ave.fif,PPC_sham,True,
12,dlpfc,active,15-80ms,0.015,0.08,0.4607054294786235,50.00000000000001,13.110574368188399,0.2267345899335201,20.000000000000004,59.46441337805174,0.7976780369238409,0.055366815774756085,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-12_DLPFC_active_ave.fif,DLPFC_active,True,
12,dlpfc,sham,15-80ms,0.015,0.08,0.43753689600089346,50.000000000000014,13.272221467893292,0.5495102852975918,45.00302324343402,107.91438085145863,0.7386871729651996,0.06292285163680202,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-12_DLPFC_sham_ave.fif,DLPFC_sham,True,
12,m1,active,15-80ms,0.015,0.08,0.8164135588800848,113.55985757710584,19.65951054025529,0.27209782910128966,20.000000000000004,62.56353168650791,0.608584451473044,0.07700999035223106,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-12_M1_active_ave.fif,M1_active,True,
