subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues
06,m1,active,15-80ms,0.015,0.08,0.5402455967735258,80.56645214840746,18.94346773686027,-0.2317126231074064,20.00000000080099,53.22794450846328,0.4946071112106649,0.08750695979159191,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-06_M1_active_ave.fif,M1_active,True,
06,m1,sham,15-80ms,0.015,0.08,0.6612627719738985,86.52852498205759,19.478259372073406,-0.24333832763812568,20.000000000000274,53.58433621150349,0.5509443627642225,0.08248559444810942,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-06_M1_sham_ave.fif,M1_sham,True,
06,ppc,active,15-80ms,0.015,0.08,0.5313797042406141,79.9282354206952,19.28593514953436,-0.240875242034721,20.000000000000004,53.32228173901643,0.5196451741507858,0.08531180118814204,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-06_PPC_active_ave.fif,PPC_active,True,
06,ppc,sham,15-80ms,0.015,0.08,0.6187997140534207,84.16147618480298,19.504879307791747,-0.23982560515398638,20.00000000059289,53.50015914985827,0.5331813409283124,0.08410118896865686,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-06_PPC_sham_ave.fif,PPC_sham,True,
07,dlpfc,active,15-80ms,0.015,0.08,0.7926085202667396,90.64347650328128,18.174119567114534,0.2522053133597141,20.000000000000004,62.091004016072176,0.6992053955710684,0.06750921423408454,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-07_DLPFC_active_ave.fif,DLPFC_active,True,
07,dlpfc,sham,15-80ms,0.015,0.08,0.8017465860840247,114.49030233293735,21.85287943929206,0.26995598628387196,20.000000000000018,62.123208104436,0.555432687375933,0.08207233622298479,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-07_DLPFC_sham_ave.fif,DLPFC_sham,True,
07,m1,active,15-80ms,0.015,0.08,0.7926306424840446,118.75278003450421,24.38048559759452,0.2685456567379212,20.000000000000004,62.61978530261098,0.5047392792699832,0.08662534452513691,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-07_M1_active_ave.fif,M1_active,True,
07,m1,sham,15-80ms,0.015,0.08,0.7880353684158353,93.12662761169821,22.020509471308575,0.4728212210495012,44.33489027706879,118.18009392069409,0.5130777220596572,0.08589301643224989,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-07_M1_sham_ave.fif,M1_sham,True,
07,ppc,active,15-80ms,0.015,0.08,0.5439333772217066,80.76756361720014,19.42117150621247,-0.23968973512834388,20.000000000000004,53.361855584624664,0.51687111240047,0.08555778550550652,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-07_PPC_active_ave.fif,PPC_active,True,
07,ppc,sham,15-80ms,0.015,0.08,0.446002041102918,76.26080500510476,18.700867207092646,-0.2202229387007547,20.000000000000004,52.95390790565194,0.4370536794976351,0.09235523647628119,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-07_PPC_sham_ave.fif,PPC_sham,True,
08,dlpfc,active,15-80ms,0.015,0.08,0.7805800832304485,70.81022522993237,16.03805072138398,0.21090701870743825,20.000000000000004,61.12934629786312,0.8165692505885525,0.052718628386596966,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-08_DLPFC_active_ave.fif,DLPFC_active,True,
08,dlpfc,sham,15-80ms,0.015,0.08,0.7224271399167699,76.89930658715096,17.00415299617905,-0.1961208157567042,20.000000000000004,52.57304666914319,0.5519907370869503,0.08238943582191223,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-08_DLPFC_sham_ave.fif,DLPFC_sham,True,
08,m1,active,15-80ms,0.015,0.08,0.39533700094056395,70.4841328890848,18.802891660960135,-0.2192793371805996,20.000000000000004,52.88106166847445,0.4300435554620997,0.09292848704852745,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-08_M1_active_ave.fif,M1_active,True,
08,m1,sham,15-80ms,0.015,0.08,0.33943134232769306,69.42761328625373,18.142574587026804,-0.20014737258343118,20.000000000000014,52.50236808065688,0.3575758988718959,0.09865950791459838,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-08_M1_sham_ave.fif,M1_sham,True,
08,ppc,active,15-80ms,0.015,0.08,0.5959314041653442,83.87007466189971,19.390140732463706,-0.2420741906050452,20.000000000000004,53.431985418717034,0.5338132401102018,0.08404424879736326,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-08_PPC_active_ave.fif,PPC_active,True,
08,ppc,sham,15-80ms,0.015,0.08,0.39956467600826207,73.31106131482595,18.60408267466647,-0.21347749209138547,20.00000000000705,52.7960263278453,0.4076142542965533,0.09473933502815156,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-08_PPC_sham_ave.fif,PPC_sham,True,
09,dlpfc,active,15-80ms,0.015,0.08,0.26392114144628853,55.41465665377368,14.60144048403537,0.30784178684635094,20.000000000000004,62.06394633377937,0.7732630777459304,0.0586123529040072,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-09_DLPFC_active_ave.fif,DLPFC_active,True,
09,dlpfc,sham,15-80ms,0.015,0.08,0.4678826900148697,50.00000000000001,13.957055834828061,0.24256956425764498,20.000000000000004,60.34951436431339,0.8639966062242403,0.04539446531740366,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-09_DLPFC_sham_ave.fif,DLPFC_sham,True,
09,m1,active,15-80ms,0.015,0.08,0.39928240981409346,69.50518833254175,18.942298624154578,-0.21567419400699,20.000000000000057,52.81090633351508,0.4255971648381719,0.09329026347929564,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-09_M1_active_ave.fif,M1_active,True,
09,m1,sham,15-80ms,0.015,0.08,0.3722374181347491,70.73427191913002,18.423319700349595,-0.20854093182734018,20.00000000000175,52.68815886312242,0.39013072091713974,0.09612722622897645,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-09_M1_sham_ave.fif,M1_sham,True,
09,ppc,active,15-80ms,0.015,0.08,0.8081198207141362,91.41247095679371,21.538838268898264,0.4848718924284817,46.55313878595622,119.09987859771863,0.509596756800843,0.08619949054194938,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-09_PPC_active_ave.fif,PPC_active,True,
09,ppc,sham,15-80ms,0.015,0.08,0.3935128258541915,71.79982622301836,18.68864118545185,-0.21250585598433167,20.000000000000004,52.781082469080445,0.40668325808886674,0.09481375219198493,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-09_PPC_sham_ave.fif,PPC_sham,True,
