subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues,mi_early_late_bits,bins_early,bins_late,resample_n
6,m1,sham,early,0.015,0.08,0.6612627719738985,86.52852498205759,19.478259372073406,-0.2433383276381256,20.00000000000028,53.58433621150349,0.5509443627642225,0.0824855944481094,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-06_M1_sham_ave.fif,M1_sham,True,,0.7693022781519485,9,8,128
6,ppc,active,early,0.015,0.08,0.5313797042406141,79.9282354206952,19.28593514953436,-0.240875242034721,20.000000000000004,53.32228173901643,0.5196451741507858,0.085311801188142,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-06_PPC_active_ave.fif,PPC_active,True,,0.7149057173199393,9,8,128
6,ppc,sham,early,0.015,0.08,0.6187997140534207,84.16147618480298,19.504879307791747,-0.2398256051539863,20.00000000059289,53.50015914985827,0.5331813409283124,0.0841011889686568,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-06_PPC_sham_ave.fif,PPC_sham,True,,0.6897873078137425,9,8,128
7,dlpfc,active,early,0.015,0.08,0.7926085202667396,90.64347650328128,18.17411956711453,0.2522053133597141,20.000000000000004,62.091004016072176,0.6992053955710684,0.0675092142340845,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-07_DLPFC_active_ave.fif,DLPFC_active,True,,0.8085624252267235,8,8,128
7,dlpfc,sham,early,0.015,0.08,0.8017465860840247,114.49030233293736,21.85287943929206,0.2699559862838719,20.000000000000018,62.123208104436,0.555432687375933,0.0820723362229847,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-07_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.7528418528401545,9,8,128
7,m1,active,early,0.015,0.08,0.7926306424840446,118.7527800345042,24.38048559759452,0.2685456567379212,20.000000000000004,62.61978530261098,0.5047392792699832,0.0866253445251369,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-07_M1_active_ave.fif,M1_active,True,,0.6942080186263679,9,8,128
7,m1,sham,early,0.015,0.08,0.7880353684158353,93.1266276116982,22.02050947130857,0.4728212210495012,44.33489027706879,118.18009392069408,0.5130777220596572,0.0858930164322498,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-07_M1_sham_ave.fif,M1_sham,True,,0.7380615931589141,10,8,128
7,ppc,active,early,0.015,0.08,0.5439333772217066,80.76756361720014,19.42117150621247,-0.2396897351283438,20.000000000000004,53.36185558462466,0.51687111240047,0.0855577855055065,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-07_PPC_active_ave.fif,PPC_active,True,,0.6277110566782067,9,8,128
7,ppc,sham,early,0.015,0.08,0.446002041102918,76.26080500510476,18.70086720709265,-0.2202229387007547,20.000000000000004,52.95390790565194,0.4370536794976351,0.0923552364762811,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-07_PPC_sham_ave.fif,PPC_sham,True,,0.5781170958262399,9,8,128
8,dlpfc,active,early,0.015,0.08,0.7805800832304485,70.81022522993237,16.03805072138398,0.2109070187074382,20.000000000000004,61.12934629786312,0.8165692505885525,0.0527186283865969,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-08_DLPFC_active_ave.fif,DLPFC_active,True,,0.8096630330089725,12,13,128
8,dlpfc,sham,early,0.015,0.08,0.7224271399167699,76.89930658715096,17.00415299617905,-0.1961208157567042,20.000000000000004,52.57304666914319,0.5519907370869503,0.0823894358219122,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-08_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.8646658434112436,12,8,128
8,m1,active,early,0.015,0.08,0.3953370009405639,70.4841328890848,18.80289166096013,-0.2192793371805996,20.000000000000004,52.88106166847445,0.4300435554620997,0.0929284870485274,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-08_M1_active_ave.fif,M1_active,True,,0.6253085078095906,9,8,128
8,m1,sham,early,0.015,0.08,0.339431342327693,69.42761328625373,18.142574587026804,-0.2001473725834311,20.00000000000001,52.50236808065688,0.3575758988718959,0.0986595079145983,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-08_M1_sham_ave.fif,M1_sham,True,,0.7530947583089056,9,8,128
