subject,site,cond,channel,mi_early_late_bits,reason,resample_n
2,dlpfc,active,F3,0.6008727568982416,ok,128
2,dlpfc,active,F4,0.6419314947272609,ok,128
2,dlpfc,active,C3,0.5002466863037015,ok,128
2,dlpfc,active,C4,0.6870575746556249,ok,128
2,dlpfc,active,P3,0.5667936385575255,ok,128
2,dlpfc,active,P4,0.5913180285556549,ok,128
2,dlpfc,active,O1,0.45821335690338544,ok,128
2,dlpfc,active,O2,0.994700881208989,ok,128
2,dlpfc,active,F7,0.6333740755077465,ok,128
2,dlpfc,active,F8,0.8053777232389225,ok,128
2,dlpfc,active,T7,0.5168484034588087,ok,128
2,dlpfc,active,T8,0.5174447969385434,ok,128
2,dlpfc,active,P7,0.6973689945123223,ok,128
2,dlpfc,active,P8,0.7143221269734039,ok,128
2,dlpfc,active,Fz,0.7610244814644688,ok,128
2,dlpfc,active,Cz,0.6972584718763247,ok,128
2,dlpfc,active,Pz,0.7403191644753422,ok,128
2,dlpfc,active,Iz,0.6273448195267256,ok,128
2,dlpfc,active,FC1,0.6665546857520673,ok,128
2,dlpfc,active,FC2,0.6426371523499305,ok,128
2,dlpfc,active,CP1,0.699189180347496,ok,128
2,dlpfc,active,CP2,0.6738403671018279,ok,128
2,dlpfc,active,FC5,0.5932880223015617,ok,128
2,dlpfc,active,FC6,0.4963796065638733,ok,128
2,dlpfc,active,CP5,0.529377625994942,ok,128
2,dlpfc,active,CP6,0.6564972362626856,ok,128
2,dlpfc,active,TP9,0.7578334483132584,ok,128
2,dlpfc,active,TP10,0.8545004322489973,ok,128
2,dlpfc,sham,Fp1,0.8621836747422902,ok,128
2,dlpfc,sham,Fp2,0.674031111804127,ok,128
2,dlpfc,sham,F3,0.5718761427916675,ok,128
2,dlpfc,sham,F4,0.6814849430470626,ok,128
2,dlpfc,sham,C3,0.5386712566334099,ok,128
2,dlpfc,sham,C4,0.7609554030548757,ok,128
2,dlpfc,sham,P3,0.7122647799256764,ok,128
2,dlpfc,sham,P4,0.7872706078911783,ok,128
2,dlpfc,sham,O1,0.4824958645615743,ok,128
2,dlpfc,sham,O2,0.5954459327122262,ok,128
2,dlpfc,sham,F7,0.6404930357004464,ok,128
2,dlpfc,sham,F8,0.6698807441401308,ok,128
2,dlpfc,sham,T7,0.717065515112134,ok,128
2,dlpfc,sham,T8,0.5231937298508335,ok,128
2,dlpfc,sham,P7,0.8701158621810177,ok,128
2,dlpfc,sham,P8,0.5985830321091126,ok,128
2,dlpfc,sham,Fz,0.7075556792880388,ok,128
2,dlpfc,sham,Cz,0.7404608419063156,ok,128
2,dlpfc,sham,Pz,0.7749612735941493,ok,128
2,dlpfc,sham,Iz,0.5264431145536043,ok,128
2,dlpfc,sham,FC1,0.6123224810405342,ok,128
2,dlpfc,sham,FC2,0.6679794289058925,ok,128
2,dlpfc,sham,CP1,0.6992836104737349,ok,128
2,dlpfc,sham,CP2,0.6725889941518794,ok,128
2,dlpfc,sham,FC5,0.7334276175755134,ok,128
2,dlpfc,sham,FC6,0.6173959074982167,ok,128
2,dlpfc,sham,CP5,0.6111614210260927,ok,128
2,dlpfc,sham,CP6,0.6684654189001171,ok,128
2,dlpfc,sham,TP9,0.6945606244018203,ok,128
2,dlpfc,sham,TP10,0.5548989066705572,ok,128
2,m1,active,Fp1,0.5683162560939629,ok,128
2,m1,active,Fp2,0.7412854239012214,ok,128
2,m1,active,F3,0.5440863226672878,ok,128
2,m1,active,F4,0.5358349567214072,ok,128
2,m1,active,C3,0.7405392069692978,ok,128
2,m1,active,C4,0.5332672625811498,ok,128
2,m1,active,P3,0.6569097081630398,ok,128
2,m1,active,P4,0.6106694142197034,ok,128
