subject,site,cond,window,tmin,tmax,roi_names,agg_used_for_entropy,entropy_bins,entropy_shannon_bits,fit_valid,fit_issues,file
17,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5429914416308472,True,,sub-17_M1_active_ave.fif
17,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.565681257223967,True,,sub-17_M1_sham_ave.fif
17,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6780794270327917,True,,sub-17_PPC_active_ave.fif
17,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6195640525932515,True,,sub-17_PPC_sham_ave.fif
18,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,9,2.6457528099033936,True,,sub-18_DLPFC_active_ave.fif
18,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,9,2.5010318846932353,True,,sub-18_DLPFC_sham_ave.fif
18,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5871280174681246,True,,sub-18_M1_active_ave.fif
18,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.6328217358194523,True,,sub-18_M1_sham_ave.fif
18,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.591803826744612,True,,sub-18_PPC_active_ave.fif
18,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6117594889458755,True,,sub-18_PPC_sham_ave.fif
19,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.544843197377566,True,,sub-19_DLPFC_active_ave.fif
19,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.6081114835332615,True,,sub-19_DLPFC_sham_ave.fif
19,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,9,2.598333184997618,True,,sub-19_M1_active_ave.fif
