site,channel,n_subjects,mean_diff_active_minus_sham,median_diff_active_minus_sham,t,p_t,W,p_wilcoxon,q_t_site,q_t_global
m1,P7,20,-0.060672721797389806,-0.05807626199709698,-1.3338090944368337,0.1980358751835037,76.0,0.2942523956298828,0.7894729630030922,0.843741361928853
m1,P8,20,-0.03506130387854507,-0.018907228980634183,-0.8111594828358494,0.42731911261422595,88.0,0.5458755493164062,0.8761229918127975,0.9382721560514062
m1,Pz,20,0.02006833307520799,0.045866093942738606,0.5460429449746811,0.5913909665219022,87.0,0.5216732025146484,0.8761229918127975,0.9382721560514062
m1,T7,20,-0.028313386181369925,-0.042457375602780845,-0.5452909371758733,0.5918978630723838,81.0,0.38837623596191406,0.8761229918127975,0.9382721560514062
m1,T8,20,0.002724117522468883,0.03089755229279778,0.06655124324325085,0.9476342736710059,105.0,1.0,0.9803113175906958,0.9935318937735861
m1,TP10,20,0.02399547156015821,-0.02393981008863061,0.4652778800862294,0.6470210430648845,103.0,0.956329345703125,0.8761229918127975,0.9389350093130219
m1,TP9,20,-0.05074443234012158,-0.07960044344768019,-1.295917644825348,0.21052612346749125,60.0,0.09730720520019531,0.7894729630030922,0.843741361928853
ppc,C3,20,0.009484309749938719,-0.008505327181598688,0.272750996176375,0.7879869767153458,101.0,0.8983173370361328,0.9763041334333049,0.9583625392483934
ppc,C4,20,0.020073657895654008,0.006764540040802125,0.4828578487933033,0.6347134465975486,99.0,0.8408222198486328,0.9763041334333049,0.9389350093130219
ppc,CP1,20,-0.015380265512103936,-0.03836616007157284,-0.6421445178569068,0.5284519101049756,78.0,0.3299827575683594,0.9763041334333049,0.9382721560514062
ppc,CP2,20,0.01817631909615521,0.03039265183331058,0.5776195940153529,0.5703035140532153,87.0,0.5216732025146484,0.9763041334333049,0.9382721560514062
ppc,CP5,20,-0.0334356367967394,-0.03241112753454456,-1.1054804556607758,0.2827537489063394,72.0,0.2305126190185547,0.9617193643515907,0.843741361928853
ppc,CP6,20,0.07007365793947957,0.06200658324869146,1.4779509228724035,0.15580711748673834,59.0,0.08969497680664062,0.9617193643515907,0.843741361928853
